Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1789303602254221.612	,1789303602254221.632
0,N/A,MEMCPY_ASYNC,46,0,2.579,1789303602262205.013	,1789303602262207.593
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,19.999,1789303602263196.633	,1789303602263216.632
0,N/A,MEMCPY_ASYNC,46,2,1.159,1789303602263245.172	,1789303602263246.332
0,N/A,MEMCPY_ASYNC,46,3,2.599,1789303602263365.529	,1789303602263368.129
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,17.879,1789303602263373.749	,1789303602263391.629
0,N/A,MEMCPY_ASYNC,46,5,0.599,1789303602263392.549	,1789303602263393.149
0,N/A,MEMCPY_ASYNC,46,6,2.599,1789303602263463.667	,1789303602263466.267
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,15.419,1789303602263471.767	,1789303602263487.187
0,N/A,MEMCPY_ASYNC,46,8,0.599,1789303602263488.127	,1789303602263488.727
0,N/A,MEMCPY_ASYNC,46,9,2.619,1789303602263552.626	,1789303602263555.246
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,15.219,1789303602263560.766	,1789303602263575.985
0,N/A,MEMCPY_ASYNC,46,11,0.619,1789303602263577.125	,1789303602263577.745
0,N/A,MEMCPY_ASYNC,46,12,2.579,1789303602263648.044	,1789303602263650.624
