Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1789312646359546.786	,1789312646359546.806
0,N/A,MEMCPY_ASYNC,46,0,2.579,1789312646366957.918	,1789312646366960.498
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,16.599,1789312646367956.978	,1789312646367973.578
0,N/A,MEMCPY_ASYNC,46,2,1.179,1789312646368007.157	,1789312646368008.337
0,N/A,MEMCPY_ASYNC,46,3,2.579,1789312646368108.835	,1789312646368111.415
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,14.379,1789312646368116.375	,1789312646368130.755
0,N/A,MEMCPY_ASYNC,46,5,0.599,1789312646368131.515	,1789312646368132.115
0,N/A,MEMCPY_ASYNC,46,6,2.599,1789312646368200.114	,1789312646368202.713
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,12.219,1789312646368208.313	,1789312646368220.533
0,N/A,MEMCPY_ASYNC,46,8,0.599,1789312646368221.613	,1789312646368222.213
0,N/A,MEMCPY_ASYNC,46,9,2.579,1789312646368291.152	,1789312646368293.732
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,11.279,1789312646368299.092	,1789312646368310.371
0,N/A,MEMCPY_ASYNC,46,11,0.619,1789312646368311.171	,1789312646368311.791
0,N/A,MEMCPY_ASYNC,46,12,2.579,1789312646368382.350	,1789312646368384.930
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,13,11.919,1789312646368390.410	,1789312646368402.329
0,N/A,MEMCPY_ASYNC,46,14,0.599,1789312646368403.089	,1789312646368403.689
0,N/A,MEMCPY_ASYNC,46,15,2.579,1789312646368500.688	,1789312646368503.267
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,16,9.859,1789312646368508.467	,1789312646368518.327
0,N/A,MEMCPY_ASYNC,46,17,0.599,1789312646368519.347	,1789312646368519.947
0,N/A,MEMCPY_ASYNC,46,18,2.579,1789312646368616.365	,1789312646368618.945
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,19,9.799,1789312646368624.165	,1789312646368633.965
0,N/A,MEMCPY_ASYNC,46,20,0.599,1789312646368635.045	,1789312646368635.645
0,N/A,MEMCPY_ASYNC,46,21,2.599,1789312646368730.383	,1789312646368732.983
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,22,9.839,1789312646368738.123	,1789312646368747.963
0,N/A,MEMCPY_ASYNC,46,23,0.599,1789312646368749.023	,1789312646368749.623
0,N/A,MEMCPY_ASYNC,46,24,2.599,1789312646368841.781	,1789312646368844.381
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,25,9.679,1789312646368849.721	,1789312646368859.400
0,N/A,MEMCPY_ASYNC,46,26,0.599,1789312646368860.600	,1789312646368861.200
0,N/A,MEMCPY_ASYNC,46,27,2.579,1789312646368953.818	,1789312646368956.398
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,28,10.239,1789312646368961.838	,1789312646368972.078
0,N/A,MEMCPY_ASYNC,46,29,0.599,1789312646368973.338	,1789312646368973.938
0,N/A,MEMCPY_ASYNC,46,30,2.579,1789312646369065.476	,1789312646369068.056
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,31,10.039,1789312646369073.416	,1789312646369083.456
0,N/A,MEMCPY_ASYNC,46,32,0.599,1789312646369084.316	,1789312646369084.916
0,N/A,MEMCPY_ASYNC,46,33,2.599,1789312646369177.674	,1789312646369180.274
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,34,10.139,1789312646369185.574	,1789312646369195.714
0,N/A,MEMCPY_ASYNC,46,35,0.599,1789312646369196.454	,1789312646369197.054
0,N/A,MEMCPY_ASYNC,46,36,2.599,1789312646369292.912	,1789312646369295.512
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,37,9.799,1789312646369301.232	,1789312646369311.031
0,N/A,MEMCPY_ASYNC,46,38,0.619,1789312646369312.111	,1789312646369312.731
0,N/A,MEMCPY_ASYNC,46,39,2.599,1789312646369459.748	,1789312646369462.348
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,40,9.739,1789312646369467.748	,1789312646369477.488
0,N/A,MEMCPY_ASYNC,46,41,0.599,1789312646369478.628	,1789312646369479.228
0,N/A,MEMCPY_ASYNC,46,42,2.599,1789312646369572.006	,1789312646369574.606
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb1ELj2ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,43,10.199,1789312646369580.006	,1789312646369590.206
0,N/A,MEMCPY_ASYNC,46,44,0.599,1789312646369590.886	,1789312646369591.486
0,N/A,PROFILING_DISABLE,49,4,0.020,1789312646370864.980	,1789312646370865.000
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1789312646370920.599	,1789312646370920.599
