Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1789303614330435.036	,1789303614330435.036
0,N/A,MEMCPY_ASYNC,46,0,2.579,1789303614337718.210	,1789303614337720.790
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,1,21.479,1789303614338754.210	,1789303614338775.689
0,N/A,MEMCPY_ASYNC,46,2,1.199,1789303614338802.149	,1789303614338803.349
0,N/A,MEMCPY_ASYNC,46,3,2.599,1789303614338911.767	,1789303614338914.367
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,4,17.919,1789303614338919.706	,1789303614338937.626
0,N/A,MEMCPY_ASYNC,46,5,0.599,1789303614338938.526	,1789303614338939.126
0,N/A,MEMCPY_ASYNC,46,6,2.619,1789303614339005.645	,1789303614339008.265
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,7,15.379,1789303614339013.645	,1789303614339029.024
0,N/A,MEMCPY_ASYNC,46,8,0.599,1789303614339030.024	,1789303614339030.624
0,N/A,MEMCPY_ASYNC,46,9,2.619,1789303614339099.363	,1789303614339101.983
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,10,15.419,1789303614339107.403	,1789303614339122.822
0,N/A,MEMCPY_ASYNC,46,11,0.599,1789303614339123.722	,1789303614339124.322
0,N/A,MEMCPY_ASYNC,46,12,2.619,1789303614339192.501	,1789303614339195.121
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,13,14.879,1789303614339200.621	,1789303614339215.500
0,N/A,MEMCPY_ASYNC,46,14,0.619,1789303614339216.360	,1789303614339216.980
0,N/A,MEMCPY_ASYNC,46,15,2.599,1789303614339308.539	,1789303614339311.139
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,16,13.099,1789303614339316.318	,1789303614339329.418
0,N/A,MEMCPY_ASYNC,46,17,0.599,1789303614339330.218	,1789303614339330.818
0,N/A,MEMCPY_ASYNC,46,18,2.619,1789303614339430.456	,1789303614339433.076
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,19,12.599,1789303614339438.096	,1789303614339450.696
0,N/A,MEMCPY_ASYNC,46,20,0.599,1789303614339451.396	,1789303614339451.996
0,N/A,MEMCPY_ASYNC,46,21,2.619,1789303614339550.174	,1789303614339552.794
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,22,12.659,1789303614339557.974	,1789303614339570.633
0,N/A,MEMCPY_ASYNC,46,23,0.599,1789303614339571.293	,1789303614339571.893
0,N/A,MEMCPY_ASYNC,46,24,2.619,1789303614339666.511	,1789303614339669.131
0,_ZN4bmms26BatchMatmulMaxSumAutoFusedIDhLb0ELb0ELb1ELb0ELj1ELj64ELj128ELj64EEEvPhS1_S1_S1_S1_mN7AscendC6tiling11TCubeTilingENS_5ShapeEj,MIX_AIC,46,25,12.999,1789303614339674.411	,1789303614339687.411
0,N/A,MEMCPY_ASYNC,46,26,0.619,1789303614339688.331	,1789303614339688.951
0,N/A,MEMCPY_ASYNC,46,27,2.599,1789303614339783.209	,1789303614339785.809
